,Comment,Category Comment
1165,why is it always the childhood stars getting exposed,neutral
1166,remember seeing this in st grade the nostalgia is coming back,neutral
1167,took trip down memory to dislike turns out already thumbs downed this song lmao,negative
1168,when this was out the world was great,positive
1169,playing this song in car in the middle of the night it has whole different vibe,positive
1170,it looks like hes holding kylo rens lightsaber lol,positive
1171,this song is just legendary so are his other songs,positive
1172,listening this song at night thinking about anything watching the ceiling is different vibe cool vibe,positive
1173,people didnt understand he was mf ing starboy,negative
1174,crazy how abel is an entirely different person with every album,negative
1175,man this hits like minecraft parody song lol,negative
1176,mean who tf dislikes this,positive
1177,dont need thors hammer need this pink cross totally invincible shit,positive
1178,the weeknd is the best singer of the world actually,positive
1179,wouldnt be surprised if that panther was his actual pet,negative
1180,cant believe blinding lights surpassed this song as most streamed,positive
1181,who just randomly came back to the song,neutral
1182,moment of silence for the girl who broke abels heart when he wasnt the weeknd look what youve done poor little girl,negative
1183,bet that this was everyones favorite song once in their lifetime,positive
1184,singer the weeknd band daft punk song stayboy,negative
1185,this song sounds like it should the on the drive soundtrack,positive
1186,cant unhear you talkin money need to urinate,negative
1187,this is my shit cuz found out could actually dance when started listening to this lol,negative
1188,this song does not fell like it was made that long ago,neutral
1189,if you re here in it means you have good musical taste,positive
1190,just love the fact that this is actually his wife this song is what people ask me to sing,positive
1191,imagine having boyfriend who writes song only for you,neutral
1192,like how john used his wife and not some random model,positive
1193,this is song that gets into your mind when youre single and have no one to speak with,positive
1194,he wrote this song for his wife,positive
1195,who ever watching this song may your love came true,positive
1196,love it so much,positive
1197,when watched this video realized that this is the kind of love we need feel as if he took the words out of my head and put them on paper then turned it into beautiful song this describes all of me this is the love we dream about,positive
1198,this song is getting me through the friendzone with this amazing girl that known for long time and want to be more and start something new just wish she would see the same but love is two lane street still be there being her happiness like she did for me if shes happy or can make someone day brighter then am happy and that the only thing that keeping me going ,positive
1199,one of the most beautiful songs ever thank you for this ser,positive
1200,listening this betters songs alone,positive
1201,my future wife prolly thinking no one will love her oh my lil nugget be patient ill be there soon and ill sing you this song to sleep promise,positive
1202,some masterpieces arent from this world period,positive
1203,this is so beautiful,positive
1204,watched this when was little kid feel cursed forever,positive
1205,my exam starts in three minutes and am listening to this song somehow giving me hope not to fail,positive
1206,me and my cousin weve played this song millions of times for years now and its still fresh in our minds likely to never become old and am in great depth greatful to chrissy teigen for inspiring this insanely talented man to create such entrancing song,positive
1207,more likes than humans on the earth lol,neutral
1208,imagine how much effort he would have put for this dance,positive
1209,bruno is not the second michael jackson he is the first bruno mars,positive
1210,once you are blessed and made itwhy be hot head or lose everything over bullshitbruno is proof that you can have it all and it doesnt hurt to have fun and enjoy the fruits of your hard worksome many forget where they use to be and get these deals and money and be gone forever in bad waybruno just be chilling and you can see him smiling and laughing and happy always positive vibes just bouncing off himothers needs to just humble themselves,positive
1211,video editor in this clip need to get credits awesome as always bruno mars,positive
1212,this song is never going to be old,positive
1213,bruno mars is hero,positive
1214,admit itlifes better when this come out,positive
1215,have only tommyinnit in my head sorry,neutral
1216,know your thinking about tommyinnit,neutral
1217,this song was played by my teacher when we were on the test,positive
1218,everyone is giving the editor credit now but lets be real how many times do you think bruno had to practice that spacing  timing to the beat and those moves,positive
1219,omg bruno did cover of tommys song,positive
1220,only bruno mars gets billions viewers in all his singles songs,positive
1221,every who disliked misclicked,negative
1222,dont liethis wasnt in our recommendedwe all clearly searched it in,neutral
1223,this is classic song we will be here the next decade im sure,positive
1224,my father loved this song he died years ago so everytime hear this song it reminds me of him,positive
1225,nostalgia when this song was the biggest thing in the world,positive
1226,this sounds like what new york city looks like,positive
1227,adele is not an artist she is an art,positive
1228,wasnt even born when this came out,positive
1229,legend has it mulan was there,positive
1230,one of the best songs this year hands down camila come thruuuuu,positive
1231,the fact that the audio has more views than the song then you know something is up,positive
1232,this is the type of song where you lock yourself in your room and dance pretending youre stripper,neutral
1233,who ever dosent like this song is the there are rong,positive
1234,like how the audio has more views than the official mv all love from the start,positive
1235,when listen this music want to watch transformers series,neutral
1236,cant believe its been years since its out it just feels like yesterday,neutral
1237,that the audio has more views than the song then you know something is up,positive
1238,im surprised nintendo hasnt striked drake for using their mii shop song,neutral
1239,drake is the type of person to install air conditioning in his sauna because its too hot,neutral
1240,this video was meant for pure memes,negative
1241,never really liked this song but the meme like nature it gained makes listening to it now pure experience its kind of cleansing for the mind to listen to older songs nowadays,negative
1242,lets be honest this pandemic is bringing us back to the legendary songs,positive
1243,drake is the type of guy to call his dad virgin,neutral
1244,drake is the type of guy that licks his finger and turn the page on an ipad,neutral
1245,no nudes no drugs no alcohol just some meme material,negative
1246,let me see how many people are still here by likes,neutral
1247,this sounds so weird without the wii shop music in the background,negative
1248,drake the type of gangster that dies in pillowfight,neutral
1249,drake is the type of guy that has dessert before his meal,neutral
1250,drake the type of guy to put ruler under his pillow to measure how long he slept,neutral
1251,drake is the type of guy who would call you to tell you that he is going to call you,neutral
1252,bruh the nostalgia this brings me is insane,positive
1253,when song is so good that you dont care about if its trap rap meme you just enjoy the song,positive
1254,that girl in the beginning is enough for anyone to get over their ex,neutral
1255,someone dared him to make song where the beat is the music they put on when ur on hold then he did,positive
1256,drake is so damn smart can guarantee he acted goofy on purpose knowing people would make vines of it and help make the vid go viral marketing genius,positive
1257,literally unable to understand single word but enjoyed lot,positive
1258,for everyone asking who is here in we never left this song will forever be amazing,neutral
1259,sometimes the strongest people are the ones who cry behind closed doorslove beyond all faults and fight battles that nobody knows about,positive
1260,this means that you are before billion views,neutral
1261,if you mess with me like rohan once did youre dead,negative
1262,get your before billion views tickets here,neutral
1263,remember when this literally broke the internet,positive
1264,when you find out this song isnt about pillows anymore,neutral
1265,guys atleast were going to be successful in our one project,positive
1266,their child is gonna be the luckiest human on earth,positive
1267,indian fans who know zayn from onedirection was their,positive
1268,only people here before billion can like,neutral
1269,whoever liked this comment is before billion views,neutral
1270,please lets get pillowtalk to billion before their baby is born,positive
1271,hate people who misspell zayn as zyan,negative
1272,only people who didnt came from tiktok are worthy of liking this comment,neutral
1273,im waiting to see,positive
1274,whos here after billion,positive
1275,dancing in timbs legendary,positive
1276,wanna dedicate this one to the homie will smith,positive
1277,chris you thought it was over,neutral
1278,good job chris on the bil knew this song would hit it sooner or later,positive
1279,lets see whos here from september to december,positive
1280,billion views this song is so underrated,neutral
1281,as soon as this hits billi everyone go to chris browns ig think hes going to announce something about his next album breezy,positive
1282,the best second to michael jackson you deserve that billion,positive
